                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.3588,                 0.6624,                0.81447,                0.74277,                0.62655,                0.66672,                0.43709,                 1.3584,                 0.7312,                0.83569,               0.001783,               0.001783,               0.001783
                     85,                 1.3476,                0.65614,                0.81441,                0.74447,                0.63493,                0.66801,                0.43435,                 1.3568,                0.73235,                0.83477,               0.001684,               0.001684,               0.001684
                     86,                 1.3683,                0.66955,                0.81581,                0.75115,                0.63556,                0.67246,                0.43809,                 1.3727,                 0.7339,                0.83375,               0.001585,               0.001585,               0.001585
                     87,                  1.369,                0.66338,                0.81397,                0.78078,                0.62665,                0.67708,                0.43968,                 1.3622,                0.73692,                0.83371,               0.001486,               0.001486,               0.001486
                     88,                 1.3272,                0.64904,                0.81804,                0.74926,                0.62626,                0.67144,                0.44013,                 1.3474,                  0.739,                0.83317,               0.001387,               0.001387,               0.001387
                     89,                 1.3541,                0.65574,                0.81427,                0.73953,                 0.6376,                0.67432,                0.44034,                 1.3419,                0.73147,                0.83305,               0.001288,               0.001288,               0.001288
                     90,                 1.2815,                0.62849,                0.81809,                0.73089,                0.62869,                0.66165,                0.44104,                  1.345,                0.73046,                0.83301,               0.001189,               0.001189,               0.001189
                     91,                 1.2539,                0.61897,                0.81759,                0.71499,                0.64049,                0.66847,                0.43174,                 1.3444,                0.72266,                0.83376,                0.00109,                0.00109,                0.00109
                     92,                 1.2481,                0.60921,                0.81648,                0.74811,                0.62585,                0.66684,                0.43115,                 1.3467,                0.71886,                0.83357,               0.000991,               0.000991,               0.000991
                     93,                 1.2309,                0.61105,                0.81707,                0.75459,                 0.6415,                0.67678,                 0.4397,                 1.3621,                0.71959,                0.83707,               0.000892,               0.000892,               0.000892
                     94,                 1.2482,                0.60454,                0.81046,                0.74375,                0.63309,                0.66953,                0.43232,                 1.3682,                0.71692,                0.83702,               0.000793,               0.000793,               0.000793
                     95,                 1.2302,                0.59793,                0.81751,                0.74656,                 0.6289,                0.66668,                0.43418,                 1.3666,                0.71699,                0.83543,               0.000694,               0.000694,               0.000694
                     96,                 1.2386,                 0.6051,                0.81571,                0.74438,                0.63002,                0.67191,                0.43672,                 1.3603,                0.71573,                 0.8375,               0.000595,               0.000595,               0.000595
                     97,                 1.2311,                0.59679,                0.81579,                0.74742,                0.62579,                0.66531,                 0.4363,                 1.3541,                0.71344,                 0.8374,               0.000496,               0.000496,               0.000496
                     98,                 1.2215,                0.59464,                0.81352,                 0.7404,                0.62499,                0.66598,                 0.4411,                 1.3493,                0.71735,                0.83362,               0.000397,               0.000397,               0.000397
                     99,                 1.2396,                0.59795,                0.81533,                0.74189,                0.62168,                0.66662,                0.44197,                 1.3493,                0.71347,                0.83356,               0.000298,               0.000298,               0.000298
