                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.6564,                 0.8559,                0.84134,                0.76438,                0.56763,                0.62409,                0.36404,                  1.595,                0.84352,                0.84895,               0.004357,               0.004357,               0.004357
                     59,                 1.6249,                0.84085,                0.84063,                0.73839,                 0.5712,                0.60424,                0.36866,                 1.5449,                0.82927,                 0.8464,               0.004258,               0.004258,               0.004258
                     60,                 1.7356,                0.86634,                0.84303,                0.75021,                0.57143,                0.61551,                0.36692,                  1.572,                 0.8496,                0.84767,               0.004159,               0.004159,               0.004159
                     61,                 1.6814,                0.85552,                0.83315,                0.73927,                0.57067,                0.62538,                0.36705,                  1.588,                0.83932,                0.84907,                0.00406,                0.00406,                0.00406
                     62,                 1.6576,                0.84291,                0.83854,                0.78376,                0.57925,                0.62971,                0.36815,                 1.5663,                0.83666,                0.84627,               0.003961,               0.003961,               0.003961
                     63,                 1.6774,                0.86833,                0.83887,                0.73614,                0.58396,                0.61628,                0.37613,                 1.5494,                0.84455,                0.84694,               0.003862,               0.003862,               0.003862
                     64,                 1.6647,                0.83603,                0.83713,                0.69308,                0.58925,                0.61908,                0.37008,                 1.5964,                0.84374,                0.84956,               0.003763,               0.003763,               0.003763
                     65,                 1.5979,                0.82225,                0.83283,                0.68818,                0.58887,                 0.6159,                0.38137,                 1.5476,                0.84198,                0.84833,               0.003664,               0.003664,               0.003664
                     66,                 1.6215,                0.83384,                 0.8379,                0.70977,                0.57693,                0.61722,                0.37006,                 1.5788,                0.83882,                0.84925,               0.003565,               0.003565,               0.003565
                     67,                 1.6366,                0.82118,                0.83845,                0.73051,                0.56904,                0.62226,                0.37377,                 1.5476,                0.84419,                0.84681,               0.003466,               0.003466,               0.003466
                     68,                 1.6364,                0.83078,                0.83755,                0.74462,                0.55704,                0.61784,                0.36754,                 1.5485,                0.84496,                0.84546,               0.003367,               0.003367,               0.003367
                     69,                  1.616,                0.82473,                0.83578,                0.73359,                0.56838,                0.62296,                0.37003,                 1.5358,                0.81374,                0.84535,               0.003268,               0.003268,               0.003268
                     70,                 1.5958,                0.82002,                0.83433,                0.72672,                0.56993,                0.62766,                0.36413,                 1.5384,                0.82355,                0.84436,               0.003169,               0.003169,               0.003169
                     71,                 1.6198,                0.82441,                0.83187,                0.75821,                0.55863,                0.63471,                0.38162,                 1.5226,                0.81196,                0.84242,                0.00307,                0.00307,                0.00307
                     72,                 1.5571,                0.81125,                0.83427,                0.75318,                0.57184,                0.63746,                0.37871,                 1.5376,                0.82517,                0.84332,               0.002971,               0.002971,               0.002971
                     73,                  1.609,                 0.8093,                0.83368,                0.73788,                 0.5835,                0.63595,                0.38684,                  1.521,                0.80274,                0.83966,               0.002872,               0.002872,               0.002872
                     74,                 1.5581,                0.79919,                0.83382,                0.68741,                0.61082,                0.64076,                0.38082,                 1.5305,                0.81573,                0.84207,               0.002773,               0.002773,               0.002773
                     75,                 1.5608,                0.80107,                0.83213,                0.69878,                0.59663,                0.62349,                0.37205,                 1.5156,                0.81284,                0.84224,               0.002674,               0.002674,               0.002674
                     76,                 1.5804,                0.80241,                0.83129,                0.74345,                0.58095,                0.62874,                0.38509,                 1.5104,                0.79836,                0.84282,               0.002575,               0.002575,               0.002575
                     77,                 1.5318,                0.78011,                   0.83,                0.71369,                0.60824,                0.62943,                0.38503,                 1.4957,                0.79208,                0.84125,               0.002476,               0.002476,               0.002476
                     78,                 1.5677,                0.79511,                0.83065,                0.71191,                 0.6017,                0.62743,                0.37802,                 1.4935,                 0.8033,                0.84156,               0.002377,               0.002377,               0.002377
                     79,                 1.5291,                0.77925,                0.83076,                0.74961,                0.59296,                0.62674,                0.37731,                 1.4967,                0.80472,                0.84222,               0.002278,               0.002278,               0.002278
                     80,                 1.5357,                0.77523,                0.83312,                0.70506,                0.60791,                0.62925,                 0.3842,                 1.5038,                0.80651,                0.83992,               0.002179,               0.002179,               0.002179
                     81,                 1.5219,                0.76307,                0.83147,                0.72263,                0.58263,                0.62266,                 0.3902,                 1.5123,                0.79599,                0.84034,                0.00208,                0.00208,                0.00208
                     82,                 1.5424,                0.77742,                0.82571,                0.72366,                0.59397,                0.63661,                0.39168,                 1.5084,                0.78678,                0.83998,               0.001981,               0.001981,               0.001981
